2020-7-31 2:13:6,27.2,99.9
2020-7-31 2:14:6,27.1,99.9
2020-7-31 2:15:6,27.3,99.9
2020-7-31 2:16:6,27.3,99.9
2020-7-31 2:17:6,27.3,99.9
2020-7-31 2:18:6,27.4,99.9
2020-7-31 2:19:6,27.5,99.9
2020-7-31 2:20:6,27.4,99.9
2020-7-31 2:21:6,27.3,99.9
2020-7-31 2:22:7,27.1,99.9
2020-7-31 2:23:7,27.1,99.9
2020-7-31 2:24:7,27.3,99.9
2020-7-31 2:25:7,27.3,99.9
2020-7-31 2:26:7,27.4,99.9
2020-7-31 2:27:7,27.4,99.9
2020-7-31 2:28:7,27.5,99.9
2020-7-31 2:29:7,27.5,99.9
2020-7-31 2:30:7,27.4,99.9
2020-7-31 2:31:7,27.2,99.9
2020-7-31 2:32:7,27.2,99.9
2020-7-31 2:33:8,27.2,99.9
2020-7-31 2:34:7,27.2,99.9
2020-7-31 2:35:7,27.3,99.9
2020-7-31 2:36:7,27.4,99.9
2020-7-31 2:37:7,27.4,99.9
2020-7-31 2:38:7,27.5,99.9
2020-7-31 2:39:7,27.6,99.9
2020-7-31 2:40:7,27.5,99.9
2020-7-31 2:41:7,27.3,99.9
2020-7-31 2:42:7,27.1,99.9
2020-7-31 2:43:7,27.1,99.9
2020-7-31 2:44:7,27.1,99.9
2020-7-31 2:45:7,27.2,99.9
2020-7-31 2:46:7,27.3,99.9
2020-7-31 2:47:7,27.3,99.9
2020-7-31 2:48:7,27.4,99.9
2020-7-31 2:49:8,27.4,99.9
2020-7-31 2:50:7,27.3,99.9
2020-7-31 2:51:7,27.3,99.9
2020-7-31 2:52:7,27.1,99.9
2020-7-31 2:53:7,27.1,99.9
2020-7-31 2:54:7,27.2,99.9
2020-7-31 2:55:7,27.3,99.9
2020-7-31 2:56:8,27.3,99.9
2020-7-31 2:57:8,27.4,99.9
2020-7-31 2:58:8,27.5,99.9
2020-7-31 2:59:8,27.4,99.9
2020-7-31 3:0:8,27.3,99.9
2020-7-31 3:1:8,27.2,99.9
2020-7-31 3:2:8,27,99.9
2020-7-31 3:3:8,27.1,99.9
2020-7-31 3:4:8,27.1,99.9
2020-7-31 3:5:8,27.2,99.9
2020-7-31 3:6:8,27.3,99.9
2020-7-31 3:7:8,27.3,99.9
2020-7-31 3:8:8,27.4,99.9
2020-7-31 3:9:8,27.4,99.9
2020-7-31 3:10:9,27.2,99.9
2020-7-31 3:11:8,27.1,99.9
2020-7-31 3:12:9,27,99.9
2020-7-31 3:13:8,27,99.9
2020-7-31 3:14:8,27.1,99.9
2020-7-31 3:15:8,27.1,99.9
2020-7-31 3:16:8,27.2,99.9
2020-7-31 3:17:8,27.2,99.9
2020-7-31 3:18:8,27.3,99.9
2020-7-31 3:19:9,27.3,99.9
2020-7-31 3:20:9,27.3,99.9
2020-7-31 3:21:9,27.4,99.9
2020-7-31 3:22:9,27.2,99.9
2020-7-31 3:23:9,27,99.9
2020-7-31 3:24:9,27.1,99.9
2020-7-31 3:25:9,27.2,99.9
2020-7-31 3:26:9,27.3,99.9
2020-7-31 3:27:9,27.4,99.9
2020-7-31 3:28:9,27.4,99.9
2020-7-31 3:29:9,27.4,99.9
2020-7-31 3:30:9,27.4,99.9
2020-7-31 3:31:9,27.4,99.9
2020-7-31 3:32:9,27.1,99.9
2020-7-31 3:33:9,27,99.9
2020-7-31 3:34:9,27.1,99.9
2020-7-31 3:35:9,27.2,99.9
2020-7-31 3:36:9,27.2,99.9
2020-7-31 3:37:9,27.3,99.9
2020-7-31 3:38:9,27.4,99.9
2020-7-31 3:39:9,27.4,99.9
2020-7-31 3:40:9,27.4,99.9
2020-7-31 3:41:9,27.3,99.9
2020-7-31 3:42:9,27.2,99.9
2020-7-31 3:43:9,27,99.9
2020-7-31 3:44:9,27.1,99.9
2020-7-31 3:45:9,27.1,99.9
2020-7-31 3:46:10,27.1,99.9
2020-7-31 3:47:10,27.3,99.9
2020-7-31 3:48:10,27.3,99.9
2020-7-31 3:49:10,27.3,99.9
2020-7-31 3:50:10,27.4,99.9
2020-7-31 3:51:10,27.4,99.9
2020-7-31 3:52:10,27.4,99.9
2020-7-31 3:53:10,27.3,99.9
2020-7-31 3:54:10,27.1,99.9
2020-7-31 3:55:10,27,99.9
2020-7-31 3:56:10,27,99.9
2020-7-31 3:57:10,27.1,99.9
2020-7-31 3:58:10,27.1,99.9
2020-7-31 3:59:10,27.3,99.9
2020-7-31 4:0:10,27.3,99.9
2020-7-31 4:1:10,27.3,99.9
2020-7-31 4:2:10,27.3,99.9
2020-7-31 4:3:10,27.1,99.9
2020-7-31 4:4:10,27,99.9
2020-7-31 4:5:10,27,99.9
2020-7-31 4:6:10,27,99.9
2020-7-31 4:7:10,27.1,99.9
2020-7-31 4:8:10,27.2,99.9
2020-7-31 4:9:10,27.2,99.9
2020-7-31 4:10:10,27.3,99.9
2020-7-31 4:11:10,27.3,99.9
2020-7-31 4:12:10,27.4,99.9
2020-7-31 4:13:10,27.5,99.9
2020-7-31 4:14:11,27.2,99.9
2020-7-31 4:15:11,27,99.9
2020-7-31 4:16:11,27.1,99.9
2020-7-31 4:17:11,27.1,99.9
2020-7-31 4:18:11,27.2,99.9
2020-7-31 4:19:11,27.2,99.9
2020-7-31 4:20:11,27.3,99.9
